Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 64.06      1.64     1.64   869998     0.00     0.00  try_swap
 16.80      2.07     0.43 25584958     0.00     0.00  comp_td_point_to_point_delay
  4.69      2.19     0.12   315200     0.00     0.00  get_bb_from_scratch
  4.30      2.30     0.11    68548     0.00     0.00  label_wire_muxes
  3.52      2.39     0.09  3008047     0.00     0.00  update_bb
  1.56      2.43     0.04  3022684     0.00     0.00  my_irand
  1.17      2.46     0.03  1342470     0.00     0.00  get_rr_node_index
  1.17      2.49     0.03    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.39      2.50     0.01   222559     0.00     0.00  node_to_heap
  0.39      2.51     0.01    65868     0.00     0.00  seg_index_of_sblock
  0.39      2.52     0.01    55176     0.00     0.00  get_track_to_tracks
  0.39      2.53     0.01      477     0.00     0.00  timing_driven_route_net
  0.39      2.54     0.01      124     0.00     0.00  load_net_slack
  0.39      2.55     0.01        1     0.01     0.01  sync_nets_to_blocks
  0.39      2.56     0.01        1     0.01     2.55  try_place
  0.00      2.56     0.00   638248     0.00     0.00  my_frand
  0.00      2.56     0.00   377666     0.00     0.00  my_malloc
  0.00      2.56     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      2.56     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      2.56     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      2.56     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      2.56     0.00    29040     0.00     0.00  get_seg_end
  0.00      2.56     0.00    29040     0.00     0.00  get_seg_start
  0.00      2.56     0.00    22465     0.00     0.00  free_heap_data
  0.00      2.56     0.00    22465     0.00     0.00  get_heap_head
  0.00      2.56     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      2.56     0.00    20292     0.00     0.00  check_node
  0.00      2.56     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      2.56     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      2.56     0.00    15972     0.00     0.00  get_track_to_ipins
  0.00      2.56     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      2.56     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      2.56     0.00     4966     0.00     0.00  is_opin
  0.00      2.56     0.00     3774     0.00     0.00  my_atoi
  0.00      2.56     0.00     3302     0.00     0.00  FreeTokens
  0.00      2.56     0.00     3287     0.00     0.00  CountTokens
  0.00      2.56     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      2.56     0.00     1359     0.00     0.00  my_strdup
  0.00      2.56     0.00     1120     0.00     0.00  get_unidir_opin_connections
  0.00      2.56     0.00      954     0.00     0.00  pathfinder_update_one_cost
  0.00      2.56     0.00      649     0.00     0.00  insert_in_hash_table
  0.00      2.56     0.00      551     0.00     0.00  ezxml_decode
  0.00      2.56     0.00      511     0.00     0.00  get_mst_of_net
  0.00      2.56     0.00      478     0.00     0.00  load_net_rr_terminals
  0.00      2.56     0.00      477     0.00     0.00  add_route_tree_to_heap
  0.00      2.56     0.00      477     0.00     0.00  empty_heap
  0.00      2.56     0.00      477     0.00     0.00  free_route_tree
  0.00      2.56     0.00      477     0.00     0.00  free_traceback
  0.00      2.56     0.00      477     0.00     0.00  heapsort
  0.00      2.56     0.00      477     0.00     0.00  init_route_tree_to_source
  0.00      2.56     0.00      477     0.00     0.00  load_rt_subtree_Tdel
  0.00      2.56     0.00      477     0.00     0.00  mark_ends
  0.00      2.56     0.00      477     0.00     0.00  reset_path_costs
  0.00      2.56     0.00      477     0.00     0.00  update_net_delays_from_route_tree
  0.00      2.56     0.00      477     0.00     0.00  update_route_tree
  0.00      2.56     0.00      477     0.00     0.00  update_traceback
  0.00      2.56     0.00      437     0.00     0.00  alloc_matrix
  0.00      2.56     0.00      431     0.00     0.00  ezxml_char_content
  0.00      2.56     0.00      430     0.00     0.00  free_matrix
  0.00      2.56     0.00      359     0.00     0.00  postscript
